authorName,title,averageRating,link
Bram Stoker,Dracula,NULL,https://www.gutenberg.org/ebooks/345.html.images
E. M. Forster,A Room with a View,NULL,https://www.gutenberg.org/ebooks/2641.html.images
George Eliot,Middlemarch,NULL,https://www.gutenberg.org/ebooks/145.html.images
Louisa May Alcott,Little Women,NULL,https://www.gutenberg.org/ebooks/37106.html.images
Elizabeth von Arnim,The Enchanted April,NULL,https://www.gutenberg.org/ebooks/16389.html.images
Herman Melville,Moby Dick,NULL,https://www.gutenberg.org/ebooks/2701.html.images
T. Smollett,The Adventures of Ferdinand Count Fathom — Complete,NULL,https://www.gutenberg.org/ebooks/6761.html.images
T. Smollett,The Expedition of Humphry Clinker,NULL,https://www.gutenberg.org/ebooks/2160.html.images
Henry Fielding,"History of Tom Jones, a Foundling",NULL,https://www.gutenberg.org/ebooks/6593.html.images
L. M. Montgomery,The Blue Castle: a novel,NULL,https://www.gutenberg.org/ebooks/67979.html.images
William Shakespeare,The Complete Works of William Shakespeare,NULL,https://www.gutenberg.org/ebooks/100.html.images
