authorName,title,publisherName,yearOfPublication,location
Bram Stoker,Dracula,Archibald Constable and Company,1897,United Kingdom
E. M. Forster,A Room with a View,Edward Arnold,1908,United Kingdom
George Eliot,Middlemarch,William Blackwood and Sons,1871,Null
Louisa May Alcott,Little Women,Roberts Brothers,1868,United States
Elizabeth von Arnim,The Enchanted April,Macmillan & Co. Ltd.,1922,United Kingdom
Herman Melville,Moby Dick,Richard Bentley,1851,United States
Herman Melville,Moby Dick,Harper & Brothers,1851,United Kingdom
T. Smollett,The Adventures of Ferdinand Count Fathom — Complete,Null,1753,United Kingdom
T. Smollett,The Expedition of Humphry Clinker,W. Johnson and B. Collins,1771,United Kingdom
Henry Fielding,"History of Tom Jones, a Foundling",Andrew Millar,1749,United Kingdom
L. M. Montgomery,The Blue Castle: a novel,McClelland and Stewart ,1926,Canada
L. M. Montgomery,The Blue Castle: a novel,Frederick A. Stokes,1926,United States
William Shakespeare,The Complete Works of William Shakespeare,Wordsworth Editions Ltd,1997,Null
